
IN256OUT64,IN256OUT64,,,BATCH
0.022694,1.8482,4096,128,40
0.026819,1.95491,4096,128,50
0.029765,2.11371,4096,128,60
IN4096OUT256,IN4096OUT256,,,BATCH
0.000507,4.13639,4096,256,1
0.001171,3.58181,4096,256,2
0.00233,3.60026,4096,256,4
0.003457,3.63984,4096,256,6
0.004597,3.6496,4096,256,8
0.005748,3.64849,4096,256,10
0.006901,3.64669,4096,256,12
0.008059,3.64315,4096,256,14
0.009216,3.64089,4096,256,16
0.010338,3.65145,4096,256,18
0.011456,3.66123,4096,256,20
0.017174,3.66336,4096,256,30
0.019906,4.21411,4096,256,40
0.021133,4.96179,4096,256,50
0.020998,5.99243,4096,256,60
IN4096OUT512,IN4096OUT512,,,BATCH
0.000599,7.00218,4096,512,1
0.001186,7.07303,4096,512,2
0.00235,7.13924,4096,512,4
0.003526,7.13722,4096,512,6
0.004688,7.15752,4096,512,8
0.005857,7.16118,4096,512,10
0.007016,7.17384,4096,512,12
0.00818,7.17852,4096,512,14
0.00934,7.1851,4096,512,16
0.010515,7.17998,4096,512,18
0.011678,7.18326,4096,512,20
0.015837,7.94526,4096,512,30
0.01545,10.859,4096,512,40
0.016697,12.5601,4096,512,50
0.022647,11.1122,4096,512,60
IN4096OUT1024,IN4096OUT1024,,,BATCH
0.000521,16.101,4096,1024,1
0.001708,9.82273,4096,1024,2
0.003393,9.88931,4096,1024,4
0.005074,9.91952,4096,1024,6
0.006758,9.93028,4096,1024,8
0.008461,9.91444,4096,1024,10
0.010146,9.92148,4096,1024,12
0.009246,12.7018,4096,1024,14
0.009919,13.5314,4096,1024,16
0.013205,11.4347,4096,1024,18
0.010075,16.6523,4096,1024,20
0.01505,16.7215,4096,1024,30
0.021196,15.8305,4096,1024,40
0.035941,11.67,4096,1024,50
0.030235,16.6468,4096,1024,60
IN4096OUT2048,IN4096OUT2048,,,BATCH
0.001009,16.6276,4096,2048,1
0.002015,16.6523,4096,2048,2
0.004033,16.6399,4096,2048,4
0.007175,14.0297,4096,2048,6
0.00749,17.9196,4096,2048,8
0.008117,20.6692,4096,2048,10
0.010943,18.3978,4096,2048,12
0.010798,21.7523,4096,2048,14
0.013363,20.088,4096,2048,16
0.013921,21.6931,4096,2048,18
0.016704,20.0877,4096,2048,20
0.024588,20.47,4096,2048,30
0.030887,21.7272,4096,2048,40
0.038532,21.7705,4096,2048,50
0.046283,21.7495,4096,2048,60
IN4096OUT4096,IN4096OUT4096,,,BATCH
0.001516,22.1335,4096,4096,1
0.004761,14.0955,4096,4096,2
0.010637,12.618,4096,4096,4
0.011489,17.5234,4096,4096,6
0.011995,22.3789,4096,4096,8
0.016874,19.8853,4096,4096,10
0.018045,22.3138,4096,4096,12
0.021068,22.2974,4096,4096,14
0.029929,17.9382,4096,4096,16
0.034247,17.636,4096,4096,18
0.030155,22.2546,4096,4096,20
0.045148,22.2963,4096,4096,30
0.060208,22.2923,4096,4096,40
0.075166,22.3202,4096,4096,50
0.090136,22.3359,4096,4096,60
IN12544OUT64,IN12544OUT64,,,BATCH
0.001719,0.93405,12544,64,1
0.003443,0.932694,12544,64,2
0.006873,0.934458,12544,64,4
0.010322,0.933326,12544,64,6
0.013739,0.934934,12544,64,8
0.017184,0.934376,12544,64,10
0.020587,0.93591,12544,64,12
0.024014,0.936073,12544,64,14
0.0274,0.937595,12544,64,16
0.030871,0.936198,12544,64,18
0.034296,0.936338,12544,64,20
0.040282,1.19579,12544,64,30
0.044861,1.43165,12544,64,40
0.050101,1.6024,12544,64,50
0.080363,1.19878,12544,64,60
IN12544OUT128,IN12544OUT128,,,BATCH
0.001251,2.56696,12544,128,1
0.002497,2.5721,12544,128,2
0.004982,2.57829,12544,128,4
0.010375,1.85712,12544,128,6
0.01382,1.85891,12544,128,8
0.017285,1.85783,12544,128,10
0.020704,1.86124,12544,128,12
0.024186,1.85883,12544,128,14
0.026874,1.91189,12544,128,16
0.027151,2.12894,12544,128,18
0.029818,2.15391,12544,128,20
0.050289,1.91569,12544,128,30
0.050533,2.54191,12544,128,40
0.048844,3.28727,12544,128,50
0.063286,3.04453,12544,128,60
IN12544OUT256,IN12544OUT256,,,BATCH
0.001015,6.32761,12544,256,1
0.002021,6.35579,12544,256,2
0.007025,3.65696,12544,256,4
0.010487,3.67457,12544,256,6
0.014006,3.66844,12544,256,8
0.017461,3.67821,12544,256,10
0.018271,4.21818,12544,256,12
0.019442,4.6248,12544,256,14
0.021468,4.78668,12544,256,16
0.02692,4.29441,12544,256,18
0.024565,5.22901,12544,256,20
0.03281,5.87247,12544,256,30
0.043708,5.87767,12544,256,40
0.049979,6.42523,12544,256,50
0.060088,6.41312,12544,256,60
IN12544OUT512,IN12544OUT512,,,BATCH
0.001091,11.7737,12544,512,1
0.003953,6.49889,12544,512,2
0.00836,6.14596,12544,512,4
0.012223,6.30535,12544,512,6
0.012442,8.25916,12544,512,8
0.012802,10.0336,12544,512,10
0.019158,8.04576,12544,512,12
0.015216,11.8185,12544,512,14
0.01714,11.9907,12544,512,16
0.021685,10.6623,12544,512,18
0.021423,11.9918,12544,512,20
0.035041,10.9972,12544,512,30
0.051522,9.97248,12544,512,40
0.053705,11.9589,12544,512,50
0.064236,11.998,12544,512,60
IN12544OUT1024,IN12544OUT1024,,,BATCH
0.002187,11.7467,12544,1024,1
0.00437,11.7575,12544,1024,2
0.013459,7.63507,12544,1024,4
0.020175,7.64018,12544,1024,6
0.017655,11.6409,12544,1024,8
0.026215,9.79978,12544,1024,10
0.026082,11.8197,12544,1024,12
0.030461,11.8073,12544,1024,14
0.044405,9.25666,12544,1024,16
0.039117,11.8215,12544,1024,18
0.043511,11.8086,12544,1024,20
0.065256,11.8105,12544,1024,30
0.086877,11.8283,12544,1024,40
0.108699,11.8171,12544,1024,50
0.204819,7.5257,12544,1024,60
IN12544OUT2048,IN12544OUT2048,,,BATCH
0.00971,5.29148,12544,2048,1
0.015204,6.75878,12544,2048,2
0.022112,9.29454,12544,2048,4
0.027513,11.2049,12544,2048,6
0.036706,11.1982,12544,2048,8
0.061686,8.32932,12544,2048,10
0.055049,11.2003,12544,2048,12
0.064279,11.1906,12544,2048,14
0.073425,11.1962,12544,2048,16
0.082713,11.1814,12544,2048,18
0.16389,6.27009,12544,2048,20
0.137833,11.1831,12544,2048,30
0.258756,7.94265,12544,2048,40
0.229637,11.1873,12544,2048,50
0.337567,9.13245,12544,2048,60
IN12544OUT4096,IN12544OUT4096,,,BATCH
0.013722,7.48874,12544,4096,1
0.022052,9.31983,12544,4096,2
0.061534,6.67991,12544,4096,4
0.055464,11.1164,12544,4096,6
0.073581,11.1725,12544,4096,8
0.092283,11.1354,12544,4096,10
0.177442,6.94946,12544,4096,12
0.129441,11.1143,12544,4096,14
0.218351,7.52993,12544,4096,16
0.250926,7.37145,12544,4096,18
0.255912,8.03092,12544,4096,20
0.277797,11.0974,12544,4096,30
,,12544,4096,40
,,12544,4096,50
,,12544,4096,60
