
IN256OUT64,IN256OUT64,,,BATCH
0.006798,7.08575,12544,64,30
0.007084,9.06625,12544,64,40
0.010873,7.38357,12544,64,50
0.012434,7.74794,12544,64,60
IN12544OUT128,IN12544OUT128,,,BATCH
0.001255,2.55878,12544,128,1
0.001276,5.03333,12544,128,2
0.001877,6.8434,12544,128,4
0.003324,5.79651,12544,128,6
0.004555,5.63998,12544,128,8
0.006045,5.31226,12544,128,10
0.007327,5.25934,12544,128,12
0.008642,5.20223,12544,128,14
0.00936,5.48934,12544,128,16
0.009511,6.07746,12544,128,18
0.009751,6.58653,12544,128,20
0.014106,6.82957,12544,128,30
0.015615,8.2261,12544,128,40
0.0264,6.08194,12544,128,50
0.017646,10.919,12544,128,60
IN12544OUT256,IN12544OUT256,,,BATCH
0.001015,6.32761,12544,256,1
0.001931,6.65202,12544,256,2
0.004603,5.58117,12544,256,4
0.007293,5.28386,12544,256,6
0.00981,5.23754,12544,256,8
0.012288,5.22667,12544,256,10
0.012692,6.07236,12544,256,12
0.012729,7.06382,12544,256,14
0.012873,7.98263,12544,256,16
0.014509,7.96785,12544,256,18
0.016012,8.02214,12544,256,20
0.03534,5.45206,12544,256,30
0.029671,8.65832,12544,256,40
0.047141,6.81204,12544,256,50
0.04478,8.60544,12544,256,60
IN12544OUT512,IN12544OUT512,,,BATCH
0.002107,6.09637,12544,512,1
0.004577,5.61287,12544,512,2
0.009797,5.24449,12544,512,4
0.013734,5.61165,12544,512,6
0.013892,7.3971,12544,512,8
0.014934,8.60122,12544,512,10
0.022722,6.78376,12544,512,12
0.019797,9.08374,12544,512,14
0.039404,5.21574,12544,512,16
0.028408,8.13894,12544,512,18
0.05288,4.85819,12544,512,20
0.052067,7.40107,12544,512,30
0.066074,7.77616,12544,512,40
0.100898,6.36537,12544,512,50
0.102763,7.49981,12544,512,60
IN12544OUT1024,IN12544OUT1024,,,BATCH
0.002191,11.7253,12544,1024,1
0.004612,11.1406,12544,1024,2
0.014267,7.20267,12544,1024,4
0.021031,7.32921,12544,1024,6
0.040563,5.06671,12544,1024,8
0.032576,7.88621,12544,1024,10
0.056223,5.48319,12544,1024,12
0.047913,7.50656,12544,1024,14
0.055228,7.44263,12544,1024,16
0.075254,6.14482,12544,1024,18
0.086814,5.91843,12544,1024,20
0.104615,7.36704,12544,1024,30
0.149535,6.872,12544,1024,40
0.163852,7.83943,12544,1024,50
0.197056,7.82218,12544,1024,60
IN12544OUT2048,IN12544OUT2048,,,BATCH
0.009707,5.29311,12544,2048,1
0.013777,7.45884,12544,2048,2
0.024219,8.48594,12544,2048,4
0.056286,5.47705,12544,2048,6
0.055179,7.44924,12544,2048,8
0.084542,6.07748,12544,2048,10
0.106767,5.77484,12544,2048,12
0.103285,6.96445,12544,2048,14
0.106515,7.71801,12544,2048,16
0.132422,6.98407,12544,2048,18
0.149317,6.88203,12544,2048,20
0.302144,5.10156,12544,2048,30
0.352844,5.8247,12544,2048,40
0.324451,7.91803,12544,2048,50
0.38856,7.93394,12544,2048,60
IN12544OUT4096,IN12544OUT4096,,,BATCH
0.013706,7.49748,12544,4096,1
0.024139,8.51406,12544,4096,2
0.055075,7.46331,12544,4096,4
0.098636,6.25089,12544,4096,6
0.103906,7.9118,12544,4096,8
0.148632,6.91375,12544,4096,10
0.152314,8.09594,12544,4096,12
0.197228,7.29433,12544,4096,14
0.308961,5.3216,12544,4096,16
0.351651,5.26001,12544,4096,18
0.344366,5.96809,12544,4096,20
0.440542,6.99777,12544,4096,30
,,12544,4096,40
,,12544,4096,50
,,12544,4096,60
